sample-id,absolute-filepath,direction
E70,$PWD/fastq/E70_S114_L001_R1_001.fastq.gz,forward
E70,$PWD/fastq/E70_S114_L001_R2_001.fastq.gz,reverse
E89,$PWD/fastq/E89_S80_L001_R1_001.fastq.gz,forward
E89,$PWD/fastq/E89_S80_L001_R2_001.fastq.gz,reverse
E90,$PWD/fastq/E90_S111_L001_R1_001.fastq.gz,forward
E90,$PWD/fastq/E90_S111_L001_R2_001.fastq.gz,reverse
E92,$PWD/fastq/E92_S88_L001_R1_001.fastq.gz,forward
E92,$PWD/fastq/E92_S88_L001_R2_001.fastq.gz,reverse
E93,$PWD/fastq/E93_S112_L001_R1_001.fastq.gz,forward
E93,$PWD/fastq/E93_S112_L001_R2_001.fastq.gz,reverse
Jasons,$PWD/fastq/Jasons_S141_L001_R1_001.fastq.gz,forward
Jasons,$PWD/fastq/Jasons_S141_L001_R2_001.fastq.gz,reverse
P100,$PWD/fastq/P100_S106_L001_R1_001.fastq.gz,forward
P100,$PWD/fastq/P100_S106_L001_R2_001.fastq.gz,reverse
P101,$PWD/fastq/P101_S107_L001_R1_001.fastq.gz,forward
P101,$PWD/fastq/P101_S107_L001_R2_001.fastq.gz,reverse
P102,$PWD/fastq/P102_S108_L001_R1_001.fastq.gz,forward
P102,$PWD/fastq/P102_S108_L001_R2_001.fastq.gz,reverse
P10,$PWD/fastq/P10_S24_L001_R1_001.fastq.gz,forward
P10,$PWD/fastq/P10_S24_L001_R2_001.fastq.gz,reverse
P11,$PWD/fastq/P11_S16_L001_R1_001.fastq.gz,forward
P11,$PWD/fastq/P11_S16_L001_R2_001.fastq.gz,reverse
P12,$PWD/fastq/P12_S7_L001_R1_001.fastq.gz,forward
P12,$PWD/fastq/P12_S7_L001_R2_001.fastq.gz,reverse
P13,$PWD/fastq/P13_S95_L001_R1_001.fastq.gz,forward
P13,$PWD/fastq/P13_S95_L001_R2_001.fastq.gz,reverse
P14,$PWD/fastq/P14_S87_L001_R1_001.fastq.gz,forward
P14,$PWD/fastq/P14_S87_L001_R2_001.fastq.gz,reverse
P15,$PWD/fastq/P15_S79_L001_R1_001.fastq.gz,forward
P15,$PWD/fastq/P15_S79_L001_R2_001.fastq.gz,reverse
P16,$PWD/fastq/P16_S71_L001_R1_001.fastq.gz,forward
P16,$PWD/fastq/P16_S71_L001_R2_001.fastq.gz,reverse
P17,$PWD/fastq/P17_S63_L001_R1_001.fastq.gz,forward
P17,$PWD/fastq/P17_S63_L001_R2_001.fastq.gz,reverse
P18,$PWD/fastq/P18_S55_L001_R1_001.fastq.gz,forward
P18,$PWD/fastq/P18_S55_L001_R2_001.fastq.gz,reverse
P19,$PWD/fastq/P19_S47_L001_R1_001.fastq.gz,forward
P19,$PWD/fastq/P19_S47_L001_R2_001.fastq.gz,reverse
P1Egg,$PWD/fastq/P1Egg_S147_L001_R1_001.fastq.gz,forward
P1Egg,$PWD/fastq/P1Egg_S147_L001_R2_001.fastq.gz,reverse
P1FG,$PWD/fastq/P1FG_S142_L001_R1_001.fastq.gz,forward
P1FG,$PWD/fastq/P1FG_S142_L001_R2_001.fastq.gz,reverse
P1,$PWD/fastq/P1_S97_L001_R1_001.fastq.gz,forward
P1,$PWD/fastq/P1_S97_L001_R2_001.fastq.gz,reverse
P20,$PWD/fastq/P20_S39_L001_R1_001.fastq.gz,forward
P20,$PWD/fastq/P20_S39_L001_R2_001.fastq.gz,reverse
P21,$PWD/fastq/P21_S31_L001_R1_001.fastq.gz,forward
P21,$PWD/fastq/P21_S31_L001_R2_001.fastq.gz,reverse
P22,$PWD/fastq/P22_S23_L001_R1_001.fastq.gz,forward
P22,$PWD/fastq/P22_S23_L001_R2_001.fastq.gz,reverse
P23,$PWD/fastq/P23_S15_L001_R1_001.fastq.gz,forward
P23,$PWD/fastq/P23_S15_L001_R2_001.fastq.gz,reverse
P24,$PWD/fastq/P24_S6_L001_R1_001.fastq.gz,forward
P24,$PWD/fastq/P24_S6_L001_R2_001.fastq.gz,reverse
P25,$PWD/fastq/P25_S94_L001_R1_001.fastq.gz,forward
P25,$PWD/fastq/P25_S94_L001_R2_001.fastq.gz,reverse
P26,$PWD/fastq/P26_S86_L001_R1_001.fastq.gz,forward
P26,$PWD/fastq/P26_S86_L001_R2_001.fastq.gz,reverse
P27,$PWD/fastq/P27_S78_L001_R1_001.fastq.gz,forward
P27,$PWD/fastq/P27_S78_L001_R2_001.fastq.gz,reverse
P28,$PWD/fastq/P28_S70_L001_R1_001.fastq.gz,forward
P28,$PWD/fastq/P28_S70_L001_R2_001.fastq.gz,reverse
P29,$PWD/fastq/P29_S62_L001_R1_001.fastq.gz,forward
P29,$PWD/fastq/P29_S62_L001_R2_001.fastq.gz,reverse
P2Egg,$PWD/fastq/P2Egg_S148_L001_R1_001.fastq.gz,forward
P2Egg,$PWD/fastq/P2Egg_S148_L001_R2_001.fastq.gz,reverse
P2FG,$PWD/fastq/P2FG_S143_L001_R1_001.fastq.gz,forward
P2FG,$PWD/fastq/P2FG_S143_L001_R2_001.fastq.gz,reverse
P2,$PWD/fastq/P2_S98_L001_R1_001.fastq.gz,forward
P2,$PWD/fastq/P2_S98_L001_R2_001.fastq.gz,reverse
P30,$PWD/fastq/P30_S54_L001_R1_001.fastq.gz,forward
P30,$PWD/fastq/P30_S54_L001_R2_001.fastq.gz,reverse
P31,$PWD/fastq/P31_S46_L001_R1_001.fastq.gz,forward
P31,$PWD/fastq/P31_S46_L001_R2_001.fastq.gz,reverse
P32,$PWD/fastq/P32_S38_L001_R1_001.fastq.gz,forward
P32,$PWD/fastq/P32_S38_L001_R2_001.fastq.gz,reverse
P33,$PWD/fastq/P33_S30_L001_R1_001.fastq.gz,forward
P33,$PWD/fastq/P33_S30_L001_R2_001.fastq.gz,reverse
P34,$PWD/fastq/P34_S22_L001_R1_001.fastq.gz,forward
P34,$PWD/fastq/P34_S22_L001_R2_001.fastq.gz,reverse
P35,$PWD/fastq/P35_S14_L001_R1_001.fastq.gz,forward
P35,$PWD/fastq/P35_S14_L001_R2_001.fastq.gz,reverse
P36,$PWD/fastq/P36_S5_L001_R1_001.fastq.gz,forward
P36,$PWD/fastq/P36_S5_L001_R2_001.fastq.gz,reverse
P37,$PWD/fastq/P37_S93_L001_R1_001.fastq.gz,forward
P37,$PWD/fastq/P37_S93_L001_R2_001.fastq.gz,reverse
P38,$PWD/fastq/P38_S85_L001_R1_001.fastq.gz,forward
P38,$PWD/fastq/P38_S85_L001_R2_001.fastq.gz,reverse
P39,$PWD/fastq/P39_S77_L001_R1_001.fastq.gz,forward
P39,$PWD/fastq/P39_S77_L001_R2_001.fastq.gz,reverse
P3FG,$PWD/fastq/P3FG_S144_L001_R1_001.fastq.gz,forward
P3FG,$PWD/fastq/P3FG_S144_L001_R2_001.fastq.gz,reverse
P3,$PWD/fastq/P3_S99_L001_R1_001.fastq.gz,forward
P3,$PWD/fastq/P3_S99_L001_R2_001.fastq.gz,reverse
P40,$PWD/fastq/P40_S69_L001_R1_001.fastq.gz,forward
P40,$PWD/fastq/P40_S69_L001_R2_001.fastq.gz,reverse
P41,$PWD/fastq/P41_S61_L001_R1_001.fastq.gz,forward
P41,$PWD/fastq/P41_S61_L001_R2_001.fastq.gz,reverse
P42,$PWD/fastq/P42_S53_L001_R1_001.fastq.gz,forward
P42,$PWD/fastq/P42_S53_L001_R2_001.fastq.gz,reverse
